"VariableName","Value","ValueLabel"
"State abbreviation (HD2024)","UT","Utah"
"State abbreviation (HD2024)","VT","Vermont"
"State abbreviation (HD2024)","VA","Virginia"
"State abbreviation (HD2024)","WA","Washington"
"State abbreviation (HD2024)","WV","West Virginia"
"State abbreviation (HD2024)","WI","Wisconsin"
"State abbreviation (HD2024)","WY","Wyoming"
"State abbreviation (HD2024)","AS","American Samoa"
"State abbreviation (HD2024)","FM","Federated States of Micronesia"
"State abbreviation (HD2024)","GU","Guam"
"State abbreviation (HD2024)","MH","Marshall Islands"
"State abbreviation (HD2024)","MP","Northern Marianas"
"State abbreviation (HD2024)","PR","Puerto Rico"
"State abbreviation (HD2024)","VI","Virgin Islands"
"Sector of institution (HD2024)","1","Public, 4-year or above"
"Sector of institution (HD2024)","2","Private not-for-profit, 4-year or above"
"Carnegie Classification 2021: Basic (HD2024)","1","Associate's Colleges: High Transfer-High Traditional"
"Carnegie Classification 2021: Basic (HD2024)","2","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional"
"Carnegie Classification 2021: Basic (HD2024)","3","Associate's Colleges: High Transfer-High Nontraditional"
"Carnegie Classification 2021: Basic (HD2024)","4","Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional"
"Carnegie Classification 2021: Basic (HD2024)","5","Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional"
"Carnegie Classification 2021: Basic (HD2024)","6","Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional"
"Carnegie Classification 2021: Basic (HD2024)","7","Associate's Colleges: High Career & Technical-High Traditional"
"Carnegie Classification 2021: Basic (HD2024)","8","Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional"
"Carnegie Classification 2021: Basic (HD2024)","9","Associate's Colleges: High Career & Technical-High Nontraditional"
"Carnegie Classification 2021: Basic (HD2024)","10","Special Focus Two-Year: Health Professions"
"Carnegie Classification 2021: Basic (HD2024)","13","Special Focus Two-Year: Other Fields"
"Carnegie Classification 2021: Basic (HD2024)","14","Baccalaureate/Associate's Colleges: Associate's Dominant"
"Carnegie Classification 2021: Basic (HD2024)","15","Doctoral Universities: Very High Research Activity
"
"Carnegie Classification 2021: Basic (HD2024)","16","Doctoral Universities: High Research Activity
"
"Carnegie Classification 2021: Basic (HD2024)","17","Doctoral/Professional Universities
"
"Carnegie Classification 2021: Basic (HD2024)","18","Master's Colleges & Universities: Larger Programs"
"Carnegie Classification 2021: Basic (HD2024)","19","Master's Colleges & Universities: Medium Programs"
"Carnegie Classification 2021: Basic (HD2024)","20","Master's Colleges & Universities: Small Programs"
"Carnegie Classification 2021: Basic (HD2024)","21","Baccalaureate Colleges: Arts & Sciences Focus"
"Carnegie Classification 2021: Basic (HD2024)","22","Baccalaureate Colleges: Diverse Fields"
"Carnegie Classification 2021: Basic (HD2024)","23","Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's"
"Carnegie Classification 2021: Basic (HD2024)","24","Special Focus Four-Year: Faith-Related Institutions"
"Carnegie Classification 2021: Basic (HD2024)","25","Special Focus Four-Year: Medical Schools & Centers"
"Carnegie Classification 2021: Basic (HD2024)","26","Special Focus Four-Year: Other Health Professions Schools"
"Carnegie Classification 2021: Basic (HD2024)","27","Special Focus Four-Year: Research Institutions"
"Carnegie Classification 2021: Basic (HD2024)","28","Special Focus Four-Year: Engineering and Other Technology-Related Schools"
"Carnegie Classification 2021: Basic (HD2024)","29","Special Focus Four-Year: Business & Management Schools"
"Carnegie Classification 2021: Basic (HD2024)","30","Special Focus Four-Year: Arts, Music & Design Schools"
"Carnegie Classification 2021: Basic (HD2024)","31","Special Focus Four-Year: Law Schools"
"Carnegie Classification 2021: Basic (HD2024)","32","Special Focus Four-Year: Other Special Focus Institutions"
"Carnegie Classification 2021: Basic (HD2024)","33","Tribal Colleges"
"Carnegie Classification 2021: Basic (HD2024)","-2","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"
